No,Regla de Negocio,Descripcion Detallada
1,Debe existir un unico identificador por proyecto (Id_Proyecto),"Los proyectos en el sistema de mapainversiones deben ser unicos, en caso que no existe se debera tener uno generado que pueda establecerse como llave unica de los proyectos y ser numerico para facilitar las consultas"
2,Debe existir un unico codigo para identificar el proyecto en el sistema de inversion publica (project code),Los proyectos en los sistemas de inversion deben tener un codigo unico de indentificacion que pueda ser entendido por funcionarios y/o ciudadanos para hacer monitoreo del proyecto desde el buscador
3,Los proyectos deben tener asociado un sector,Los proyectos en mapa inversiones deben tener asociado un sector por el cual se puedan realizar filtros o perfiles asociados a sectores
4,Los proyectos deben tener asociado una entidad ejecutora y/o responsable del proyecto ( Executing Agency),Los proyectos en mapa inversiones deben estar asociados a entidades ejecutoras y/o responsables del proyecto en jamiaca las entidades ejecutoras(Executing agencies) y responsables del proyecto son las mismas
5,Los proyectos deben contener una fuente de financiacion y organismo de financiacion asociado  (Financial Agency),"Los proyectos en mapa inversionens deben contar fuentes de financiacion y es importante conocer los organismos financiadores, esto para determinar de donde provieneen los recursos y como es el flujo de estos"
6,"Los proyectos deben contener una descripcion adecuada del mismo, con caracteres y palabras que contextualicen un poco la caracteristica general de proyecto","Los proyectos en mapa inversionens deben contar con una descripcion adecuada, dado que esto permitira explicarle a los ciudadanos de que se trata el proyecto dentro de los perfiles de proyecto y debe tener palabras coherentes "
7,"Los proyectos deben contener un objetivo general adecuado del mismo, con caracteres y palabras que contextualicen un poco la caracteristica general de proyecto",Algunos paises adicional a la descripcion desean que los ciudadanos entiendan los objetivos generales del proyecto
8,Los nombres de los proyectos deben ser claros y no tener abreviaciones que no sean facilmente entendible por los ciudadanos,La informacion de los proyectos debe ser lo mas entendible por los ciudadanos la utilizacion de abreviaciones que puedan confundir al ciudadano deben ser revisadas y evaluadas durante el proceso de calidad de datos
9,Los proyectos deben tener fecha inicio (año inicio) y fecha final (año final),"Los proyectos en mapa inversiones se filtran por rangos de año, para los ciudadanos es importante generar filtros dentro del mapa con esta caracteristica que permita conocer el horizonte del proyecto y la duracion del mismo"
10,Proyectos deben tener el monto (Valor todas las fuentes/ approval amount) aprobado y/o vigente asociado al proyecto. Para caso dominicana es el costo_total,"Para los ciudadanos es importante conocer el costo asociado al proyecto, cada gobierno define cual es la variable que identifica mejor este valor "
11,Los proyectos deben tener estados y/o etapas que identifiquen el estado del proyecto para el caso de jamaica solo utilizan el estado ongoing y ended,Los ciudadanos buscan conocer los estados y/o etapas de los proyectos para poder monitorearlos. Algunos paises inician mostrando un estaod de ejecucion /ongoing y en el tiempo van a ajustando los estados
12,Los proyectos deben tener un avance fisico definidos para los estados activos o definidos,"En Mapa Inversiones se busca que los ciudadanos puedan hacer el seguimiento de como avanzan los proyectos a nivel fisico, dado que todos los proyectos de jamaica estan en estado ongoing, se espera que estos tengan un avance fisico relacionado"
13,Los proyectos deben tener un avance fisico (fisical progress) superior  0 en los diferentes estados,Si los proyectos tienen un avance fisico relacionado se espera que este sea mayor a 0 y no superior a 100% 
14,Si la fecha de finalizacion del proyecto es antes de la fecha actual el avance fisico del proyecto deberia ser 100% y no un valor menor,Es importante poder establecer alertas que indiquen que algo esta incorrecto en la ejecucion de los proyectos de inversion en caso que el avance fisico no este en 100% cuando estos ya han finalizado segun las fechas establecidas
15,Para el caso de jamaica se establecio que los proyectos deben tener asociado al menos un objetivo especifico ,Algunos paises buscan ser mas especificos en las caracteristicas de los proyectos de inversion y proveer esta informacion a los ciudadanos 
16,Los proyectos de inversiion en jamaica deben tener componentes (Productos) asociados,En mapainversiones buscamos consolidar la informacion de los resultados de los proyectos de inversion esto se realiza en jamaica a traves de componentes y actividades (Productos y Actividades). Se espera que al menos cada proyecto tenga un componente y este a su vez tenga al menos una actividad asociada
17,Los proyectos deben tener al menos una actividad asociada a un producto,Se espera que los componentes de elos proyectos tengan actividades asociadas 
18,Los proyectos deben tener un presupuesto independiente del estado en el que se encuentren,Cuando se define un proyecto este debe tener un presupuesto asignado 
19,Los proyectos deben tener un presupuesto  donde el porcentaje de (Budget) sea mayor a 0 y menor al 100% para los diferentes estados,Se espera que cuando se define el proyecto el presupuesto  sea mayor a 0. Tambien se espera que este presupuesto no sea mayor al valor definido para el proyecto. Esto es para el caso de jamaica con un preupuesto programado (budget allocation) y un gasto (spent). Esto es que el gasto sobre el presupuesto programado sea mayor a 0 y menor a 100%
20,Los proyectos deben tener un gasto (spent ) superior a 0 cuando el estado del proyecto esta en ejecucion (ongoing) o a terminado,"Cuando los proyectos ya han avanzado se espera una ejecucion financiera del mismo y que conforme avance el proyecto a nivel fisico tambien avance a nivel financiero, no se espera que el gasto disminuya o sea negativo"
21,Los proyectos deben tener al menos una localizacion asignada,"MapaInversiones requiere informacion de localizacion para poder filtrar los proyectos en el mapa. Un proyecto puede tener una o mas localizaciones, teniendo en cuenta que hay proyectos de alcance nacional, En jamaica las localizaciones estan organizacas como counties and parishes"
22,Los proyectos de inversion deben tener una avance financiero y este debe ser superior a 0 en los estados de ongoing y ended,El avance financiero de los proyectos es clave para explicar a los ciudadanos como se ejecutan los recursos 
